included	classification_title	N	title	abstract
NaN		1478	"Østergaard, L. D. (2016). """"Inquiry-Based Learning Approach in Physical Education: Stimulating and Engaging Students in Physical and Cognitive Learning."""" Journal of Physical Education, Recreation & Dance 87(2): 7-14."""""	" Inquiry is an approach that promotes engagement, motivation and learning, and which involves use of cognitive knowledge, bodily experience and communicative skills. Usually the inquiry method with skills like observations, planning, investigations, experimenting and drawing conclusions is related to natural sciences, but this paper describes an inquiry-based learning approach used in physical education teacher education. The first phase in inquiry work is to discuss and reflect on a given question or challenge which is realistic and relevant for the students. In the described example, the challenges were how it was possible in a given sports arena to modify or create a ball game for lower secondary students (grade 8) to fulfill three distinctive curriculum-related goals (selected by the student teacher). In the next phases the students in groups were to discuss, argue and formulate predictions of how to deal with the challenge, and then by using the inquiry skills mentioned above they were to investigate, test and collect data to confirm or disapprove their prediction. Together with the other students they finally played their game and discussed, concluded and criticized their findings in relation to the prediction. Based on observations of and interviews with students who have been taught by means of the inquiry method it is apparent that the students, besides enhancing their motivation and engagement in physical education teacher education, also enhanced both physical and cognitive learning by using bodily experiences, cognitive knowledge, communicative skills and inquiry-based skills."""
0	"Åkerström, J. and E. Brunnberg (2013). Young people as partners in research: Experiences from an interactive research circle with adolescent girls."" Qualitative Research 13(5): 528-545."""	26	"Åkerström, J. and E. Brunnberg (2013). """"Young people as partners in research: Experiences from an interactive research circle with adolescent girls."""" Qualitative Research 13(5): 528-545."""""	" This article presents an interactive research methodology for young people’s participation in research. A model of the research circle, based on the Scandinavian study-circle tradition with democratic ideals, was created and is described. The empirical example is from Sweden. Academic researchers invited young people to be research partners in a research circle. The asymmetrical relationship between the researchers and the young research partners made asymmetric responsibility and respect into central parts of the methodology. The interactive process in the research circle concerns research fundamentals: developing methodological knowledge, designing a study, how to formulate the research questions from the viewpoint of young people, how to analyze from a generational insider perspective, and how to handle institutionalized and asymmetric power relations in social knowledge formation. (PsycINFO Database Record (c) 2016 APA, all rights reserved)"""
0	"Ávila Caica, O. L. (2011). Teacher: Can You See What I'm Saying? A Research Experience with Deaf Learners (Profe: ¿Puedes ""ver"" lo que estoy diciendo? Una experiencia de investigación con alumnos sordos)."" PROFILE: Issues in Teachers' Professional Development 13(2): 131-146."""	94	"Ávila Caica, O. L. (2011). """"Teacher: Can You See What I'm Saying? A Research Experience with Deaf Learners (Profe: ¿Puedes """"ver"""" lo que estoy diciendo? Una experiencia de investigación con alumnos sordos)."""" PROFILE: Issues in Teachers' Professional Development 13(2): 131-146."""""	" This paper reports a study carried out with eleven deaf volunteers who belonged to different academic programs at a Colombian public university but did not receive English instruction as part of their professional training. The main goal of the research study was to identify the effect of using Internet resources as support for the design and development of a blended English course for deaf university students. The data were collected by means of surveys, artifacts, logs and a recorded interview to understand what worked well for deaf students and what barriers could interfere with their English learning. The study revealed some insights into the learning process of deaf students and their preference for collaborative learning and tasks linked to visual media."""
1	"Añino, M. M., et al. (2014). Early Error Detection: An Action-Research Experience Teaching Vector Calculus."" International Journal of Mathematical Education in Science and Technology 45(3): 378-395."""	68	"Añino, M. M., et al. (2014). """"Early Error Detection: An Action-Research Experience Teaching Vector Calculus."""" International Journal of Mathematical Education in Science and Technology 45(3): 378-395."""""	" This paper describes an action-research experience carried out with second year students at the School of Engineering of the National University of Entre Ríos, Argentina. Vector calculus students played an active role in their own learning process. They were required to present weekly reports, in both oral and written forms, on the topics studied, instead of merely sitting and watching as the teacher solved problems on the blackboard. The students were also asked to perform computer assignments, and their learning process was continuously monitored. Among many benefits, this methodology has allowed students and teachers to identify errors and misconceptions that might have gone unnoticed under a more passive approach."""
0	"Aaron, L. S. and C. M. Roche (2012). Teaching, Learning, and Collaborating in the Cloud: Applications of Cloud Computing for Educators in Post-Secondary Institutions."" Journal of Educational Technology Systems 40(2): 95-111."""	1	"Aaron, L. S. and C. M. Roche (2012). """"Teaching, Learning, and Collaborating in the Cloud: Applications of Cloud Computing for Educators in Post-Secondary Institutions."""" Journal of Educational Technology Systems 40(2): 95-111."""""	" ""Cloud computing"""" refers to the use of computing resources on the Internet instead of on individual personal computers. The field is expanding and has significant potential value for educators. This is discussed with a focus on four main functions: file storage, file synchronization, document creation, and collaboration--each of which has applications for educators. Cloud-based application suites such as Google Apps, Zoho, and Microsoft Office 365 are important tools. In addition, web-based tools such as Google Scholar and Zotero can enhance the learning and research experience. This discussion is enriched by the results of a survey of 80 faculty members delivered in May 2011. The respondents fell into two groups--those who currently use cloud computing and those who do not. Results reveal the areas of interest, future projections, and the concerns of both groups. (Contains 3 tables and 1 figure.)"""""
0	"Abbasi, A. S., et al. (2011). Team management: The Islamic paradigm."" African Journal of Business Management 5(5): 1975-1982."""	2	"Abbasi, A. S., et al. (2011). """"Team management: The Islamic paradigm."""" African Journal of Business Management 5(5): 1975-1982."""""	" The success of any organization greatly depends on the collective performance of teams working under that umbrella. Therefore to measure/monitor the effectiveness of a team is of vital importance for both practitioners and researchers. Many researchers have presented their models explaining how to respond to this concern. This study critically analyzes the existing methods of assessing effectiveness of teams and found two main deficiencies in the current models (lack of accountability and satisfaction). The current study provides 'team management and the Islamic paradigm' (TMIP) instrument to measure the effectiveness of team performance, thus filling the gap in contemporary approaches. Although TMIP instrument is based on the Islamic perspective, it provides a unique blend of Islamic and existing ways of measuring the effectiveness of team management. TMIP instrument analyzes team effectiveness from three dimensions including values, environment and rewards and accountability. This is a seminar work from an Islamic perspective  however, future research opportunities, given at the end of this paper, can open new horizons of research for Islamic scholars."""
0	"Abdalla, M., et al. (2016). The Importance of Global Health Experiences in the Development of New Cardiologists."" Journal of the American College of Cardiology 67(23): 2789-2797."""	3	"Abdalla, M., et al. (2016). """"The Importance of Global Health Experiences in the Development of New Cardiologists."""" Journal of the American College of Cardiology 67(23): 2789-2797."""""	" As the global burden of cardiovascular disease continues to increase worldwide, nurturing the development of early-career cardiologists interested in global health is essential to create a cadre of providers with the skill set to prevent and treat cardiovascular diseases in international settings. As such, interest in global health has increased among cardiology trainees and early-career cardiologists over the past decade. International clinical and research experiences abroad present an additional opportunity for growth and development beyond traditional cardiovascular training. We describe the American College of Cardiology International Cardiovascular Exchange Database, a new resource for cardiologists interested in pursuing short-term clinical exchange opportunities abroad, and report some of the benefits and challenges of global health cardiovascular training in both resource-limited and resource-abundant settings. (C) 2016 by the American College of Cardiology Foundation."""
1	"Abderhalden, F. P., et al. (2016). Crime, Camping, and Fear: Developing High Impact Practices in Criminal Justice."" Journal of Criminal Justice Education 27(3): 410-431."""	4	"Abderhalden, F. P., et al. (2016). """"Crime, Camping, and Fear: Developing High Impact Practices in Criminal Justice."""" Journal of Criminal Justice Education 27(3): 410-431."""""	" High Impact Practices (HIPs) have been shown to increase critical thinking skills, student engagement, persistence, and GPA. Examples of HIPs include research experiences, collaborative projects, study abroad, and internships. One of the main characteristics of a HIP is the effort they require. This effort not only applies to the experience, but the development of the experience itself. In the fall of 2014, a HIP was utilized to provide criminal justice students an opportunity to engage in research and data collection. This paper will explore the logistics, best practices, benefits, and pitfalls of developing a high impact practice."""
0	"Aboelela, S. W., et al. (2007). Defining Interdisciplinary Research: Conclusions from a Critical Review of the Literature."" Health Services Research 42(1, part 1): 329-346."""	5	"Aboelela, S. W., et al. (2007). """"Defining Interdisciplinary Research: Conclusions from a Critical Review of the Literature."""" Health Services Research 42(1, part 1): 329-346."""""	" Objective: To summarize findings from a systematic exploration of existing literature and views regarding interdisciplinarity, to discuss themes and components of such work, and to propose a theoretically based definition of interdisciplinary research. Data Sources/Study Setting: Two major data sources were used: interviews with researchers from various disciplines, and a systematic review of the education, business, and health care literature from January 1980 through January 2005. Study Design: Systematic review of literature, one-on-one interviews, field test (survey). Data Collection/Extraction Methods: We reviewed 14 definitions of interdisciplinarity, the characteristics of 42 interdisciplinary research publications from multiple fields of study, and 14 researcher interviews to arrive at a preliminary definition of interdisciplinary research. That definition was then field tested by 12 individuals with interdisciplinary research experience, and their responses incorporated into the definition of interdisciplinary research proposed in this paper. Principal Findings: Three key definitional characteristics were identified: the qualitative mode of research (and its theoretical underpinnings), existence of a continuum of synthesis among disciplines, and the desired outcome of the interdisciplinary research. Conclusion: Existing literature from several fields did not provide a definition for interdisciplinary research of sufficient specificity to facilitate activities such as identification of the competencies, structure, and resources needed for health care and health policy research. This analysis led to the proposed definition, which is designed to aid decision makers in funding agencies/program committees and researchers to identify and take full advantage the interdisciplinary approach, and to serve as a basis for competency-based formalized training to provide researchers with interdisciplinary skills. (PsycINFO Database Record (c) 2016 APA, all rights reserved)"""
0	"Abramovich, S. and E. K. Cho (2009). Mathematics, Computers, and Young Children as a Research-Oriented Learning Environment for a Teacher Candidate."" Asia Pacific Education Review 10(2): 247-259."""	6	"Abramovich, S. and E. K. Cho (2009). """"Mathematics, Computers, and Young Children as a Research-Oriented Learning Environment for a Teacher Candidate."""" Asia Pacific Education Review 10(2): 247-259."""""	" The advent of computer technology in the classroom raised the issue of its appropriate use by teachers and their students alike. It has been recommended that teacher education programs provide more opportunities for teacher candidates' use of technology including teaching their own technology-enhanced lessons. With a goal of integrating scholarship into student teaching, a teacher candidate enrolled in a graduate program in childhood education carried out a technology-enhanced research project within a professional development school. Examining the impact of the project on the teacher candidate, this article describes how one's pedagogical content knowledge and technological competence can be developed through a research-oriented teaching experience. The article also demonstrates the emergence of a community of practice that shares the goal of providing learning spaces for the teacher candidate and young children in the context of mathematics enrichment with computers."""
